Model,Admiration,Adoration,Aesthetic Appreciation,Amusement,Anger,Anxiety,Awe,Awkwardness,Boredom,Calmness,Concentration,Confusion,Contemplation,Contempt,Contentment,Craving,Desire,Determination,Disappointment,Disgust,Distress,Doubt,Ecstasy,Embarrassment,Empathic Pain,Entrancement,Envy,Excitement,Fear,Guilt,Horror,Interest,Joy,Love,Nostalgia,Pain,Pride,Realization,Relief,Romance,Sadness,Satisfaction,Shame,Surprise (negative),Surprise (positive),Sympathy,Tiredness,Triumph
async_ai_angry_voice1,0.020674925995990634,0.01336865359917283,0.015551061020232737,0.07901489175856113,0.16216403525322676,0.02254704898223281,0.01214055682066828,0.015494054183363914,0.029830955900251865,0.09060732647776604,0.19019105285406113,0.005693422397598624,0.039146291092038155,0.13892140798270702,0.10158762987703085,0.025128842215053737,0.00315822078846395,0.5607817471027374,0.0885627930983901,0.08592663891613483,0.04369206307455897,0.015521992463618517,0.062002332822885364,0.007838800316676497,0.07037419007974677,0.023358890553936362,0.0237407423555851,0.23223945847712457,0.010795701527968049,0.011357016919646412,0.003313715773401782,0.07919946406036615,0.12936093704774976,0.009308300679549575,0.026946438942104578,0.0232859889511019,0.2216809899546206,0.10230005159974098,0.020099066197872162,0.004929465241730213,0.04420867399312556,0.29714146023616195,0.01170614326838404,0.009413137333467603,0.02216491283616051,0.16961808736959938,0.018542092759162188,0.18474617134779692
async_ai_angry_voice2,0.022726174909621477,0.00810979527886957,0.02106734295375645,0.10989376343786716,0.1739185592159629,0.020968179334886372,0.015250167110934854,0.01731231715530157,0.02092263102531433,0.07326249219477177,0.19560900330543518,0.004326440044678748,0.02879104670137167,0.09996257163584232,0.08597940299659967,0.030828992486931384,0.0023489376762881875,0.5286246985197067,0.0443067979067564,0.03548420872539282,0.024476591148413718,0.00980953685939312,0.07975888694636524,0.007467212388291955,0.031277417481760494,0.015656519681215286,0.027528773993253708,0.37876799097284675,0.00509203746332787,0.015203402988845482,0.0019150195585098118,0.2035074238665402,0.15803757263347507,0.005517526529729366,0.01918961782939732,0.011239450221182778,0.11048916634172201,0.06778774969279766,0.023018926847726107,0.003090277314186096,0.02921133564086631,0.32415845338255167,0.009894252812955528,0.00676460494287312,0.032255258643999696,0.09547095304878894,0.008255817461758852,0.16420076321810484
async_ai_angry_voice3,0.02691702265292406,0.014732579933479428,0.025989108718931675,0.14324670657515526,0.2288108030334115,0.02733989548869431,0.021679721889086068,0.019056683406233788,0.03979806788265705,0.09197506867349148,0.17233726382255554,0.004286515642888844,0.02141220774501562,0.1815674863755703,0.08664010604843497,0.03077528509311378,0.0042777820490300655,0.5882876366376877,0.09750371426343918,0.07712741242721677,0.057886569295078516,0.009656073525547981,0.10232091479701921,0.01342654787003994,0.09582164452876896,0.033769412664696574,0.04764497559517622,0.33331932057626545,0.009384100674651563,0.03193263744469732,0.0026212981319986284,0.13522167969495058,0.2045706850476563,0.013126570265740156,0.025646685156971216,0.03820298402570188,0.17329955287277699,0.06841699779033661,0.03412134665995836,0.005761101143434644,0.08378029195591807,0.2880467642098665,0.029039805405773222,0.007043029181659222,0.02467313560191542,0.23933542874874547,0.023704320657998323,0.21498697809875011
async_ai_angry_voice4,0.030681092524901032,0.021399256598670036,0.017620552913285792,0.12152904830873013,0.1363717969506979,0.03761422261595726,0.019496712600812316,0.025184507947415113,0.010675260797142982,0.02211530040949583,0.09268724173307419,0.01113580772653222,0.037057653069496155,0.08553838916122913,0.08788019372150302,0.0362748431507498,0.006668417132459581,0.415438674390316,0.09862872119992971,0.04982022475451231,0.07072676066309214,0.02555393986403942,0.09852161663002335,0.010861371643841267,0.06431250082096085,0.026010870235040784,0.040144117549061775,0.29383517522364855,0.010140907717868686,0.018499362748116255,0.0029311433318071067,0.07456471584737301,0.17196199600584805,0.01754715235438198,0.026186684146523476,0.017793572857044637,0.19395775394514203,0.12632069736719131,0.020827546250075102,0.011443468276411295,0.04361230880022049,0.28939975681714714,0.012549467151984572,0.015246519586071372,0.04202544270083308,0.19210295172524638,0.015541651053354144,0.1557334726676345
cartesia_angry_barber,0.03171672951430082,0.01240582438185811,0.01558755524456501,0.09697248600423336,0.28502102568745613,0.04501778818666935,0.025448820553719997,0.02264963462948799,0.004798339447006583,0.01746266125701368,0.06863533705472946,0.007225260371342301,0.016818865202367306,0.14082974754273891,0.05191776971332729,0.03200441144872457,0.003837800584733486,0.5111332535743713,0.13306334987282753,0.07339709531515837,0.09018293768167496,0.015102319419384003,0.09989720035810024,0.026353084947913885,0.09567684581270441,0.01597042800858617,0.03308696299791336,0.40075672743842006,0.017000779509544373,0.04110719310119748,0.006562068592756987,0.08865294163115323,0.07951842015609145,0.0096267219632864,0.014069823548197746,0.035344523610547185,0.08688679989427328,0.07948821783065796,0.03136928426101804,0.006527518853545189,0.05837915628217161,0.20279141562059522,0.023813261883333325,0.024496495723724365,0.045841157203540206,0.1893102986505255,0.013026196975260973,0.1640358567237854
cartesia_angry_voice1,0.011141831753775477,0.006634427001699805,0.0091804115800187,0.06178232654929161,0.2509405994787812,0.029549719765782356,0.00819235690869391,0.014452500268816948,0.016947299242019653,0.0552650298923254,0.1576978787779808,0.005360639421269298,0.04386964626610279,0.2419077716767788,0.14888202724978328,0.011488781427033246,0.0023739509633742273,0.6570097804069519,0.10059388726949692,0.12601081933826208,0.041655377484858036,0.015205316711217165,0.04100929872947745,0.00765800173394382,0.07309453032212332,0.013042539823800325,0.03669081022962928,0.15704991365782917,0.012497375952079892,0.0154138149227947,0.003021445299964398,0.05575143173336983,0.057392712333239615,0.006529244128614664,0.013757539447396994,0.01832394499797374,0.23657132405787706,0.09881284087896347,0.02711987029761076,0.0033304031239822507,0.03468891652300954,0.32449784968048334,0.013411019230261445,0.010983882006257772,0.014294446562416852,0.22766577583388425,0.02108023129403591,0.23550790827721357
cartesia_angry_voice2,0.012191429113348326,0.00605847224748383,0.00959239446092397,0.07275960842768352,0.24309977951149145,0.05209232152750095,0.01611088526745637,0.012245004996657372,0.011282290254409114,0.04493660666048527,0.10607741586863995,0.02006627960751454,0.02687775281568368,0.09961631645758946,0.09015871468000114,0.008183627350566288,0.002364753706691166,0.43846675256888074,0.10576000312964122,0.0630036232372125,0.0642428807914257,0.01905068972458442,0.053067965258378536,0.0089972666464746,0.06881826549458007,0.010212792471672097,0.02600846563776334,0.19300849425295988,0.015417172107845545,0.014881393639370799,0.00544541593020161,0.1029939806709687,0.07363698057209452,0.004748647877325614,0.008773580038299164,0.021783537697046995,0.1630694322908918,0.14471568912267685,0.036408254566291966,0.0032020282621184983,0.030029352521523833,0.18256760202348232,0.009784026459480325,0.032343033545960985,0.046369129636635385,0.17592215582650775,0.009751414724936089,0.15005812048912048
cartesia_angry_voice3,0.013542256938914457,0.007111599358419578,0.007172065631796916,0.043488494430979095,0.2889095439265172,0.013575964917739233,0.012371106926972667,0.007495301465193431,0.03197723922009269,0.07396354371060927,0.15576626857121786,0.007876162494843205,0.023702335233489673,0.22246232504645982,0.0750429912780722,0.010188195699205002,0.0023791640220830836,0.686938484509786,0.0571214035153389,0.07515741232782602,0.0220941249281168,0.011251724790781736,0.07133798596138756,0.0048834397457540035,0.014299730765439259,0.008615034321943918,0.028921530892451603,0.17943142913281918,0.006376330197478334,0.005341638655712207,0.0019744239980354905,0.05432027826706568,0.07067102597405513,0.006836587330326438,0.008145886628578106,0.006328353852344056,0.22759530196587244,0.06910058110952377,0.03168437133232752,0.00350536429323256,0.011453753026823202,0.17130043792227903,0.005904852335030834,0.010046143860866627,0.02322529916030665,0.08495926749310456,0.013105762811998526,0.21232137456536293
deepgram_angry_voice1,0.018885778496041894,0.01199418562464416,0.01942769589368254,0.10436677932739258,0.2762146182358265,0.06877117697149515,0.021407235646620393,0.027339273132383823,0.009704305324703455,0.025759591720998287,0.10836639441549778,0.012017656117677689,0.03635177202522755,0.17955521866679192,0.08207936864346266,0.03467373631428927,0.004022799315862358,0.5307110995054245,0.16833847388625145,0.0992003008723259,0.11721450462937355,0.029536045156419277,0.07081720826681703,0.02764355856925249,0.11191813094774261,0.018316807691007853,0.04936796706169844,0.34370351070538163,0.018794418778270483,0.06098984903655946,0.006375954253599048,0.10098722949624062,0.12019083928316832,0.009834779892116785,0.017732510343194008,0.05702425935305655,0.14566221367567778,0.12373612448573112,0.03507901728153229,0.007286841282621026,0.09218068514019251,0.237890618853271,0.03813407523557544,0.02284067776054144,0.04025936289690435,0.1752730931621045,0.019060127902776003,0.19714096281677485
deepgram_angry_voice2,0.016583416843786836,0.010280210641212761,0.01799180416855961,0.12275923229753971,0.11151309870183468,0.049759697169065475,0.020118144457228482,0.021973944269120693,0.010580141562968493,0.06405092682689428,0.1551753357052803,0.010506857885047793,0.052643291652202606,0.10609680227935314,0.08010274404659867,0.023110685404390097,0.004962524399161339,0.5440239906311035,0.07995341345667839,0.04963582381606102,0.06565262004733086,0.021479351446032524,0.07697681640274823,0.009999459143728018,0.17790368164423853,0.021070421673357487,0.029175948351621628,0.29252990102395415,0.021869061049073935,0.018821467412635684,0.00446883006952703,0.09502378478646278,0.13277162122540176,0.008371654199436307,0.02635357156395912,0.02676692558452487,0.2211566404439509,0.11630188301205635,0.020962755661457777,0.0059965746477246284,0.06821256782859564,0.26346055092290044,0.012109262170270085,0.012527856044471264,0.045009654539171606,0.3533313383522909,0.015208632685244083,0.20354140596464276
