Model,Admiration,Adoration,Aesthetic Appreciation,Amusement,Anger,Anxiety,Awe,Awkwardness,Boredom,Calmness,Concentration,Confusion,Contemplation,Contempt,Contentment,Craving,Desire,Determination,Disappointment,Disgust,Distress,Doubt,Ecstasy,Embarrassment,Empathic Pain,Entrancement,Envy,Excitement,Fear,Guilt,Horror,Interest,Joy,Love,Nostalgia,Pain,Pride,Realization,Relief,Romance,Sadness,Satisfaction,Shame,Surprise (negative),Surprise (positive),Sympathy,Tiredness,Triumph
async_ai_excitement_voice1,0.060462276761730514,0.03406303593267997,0.021875385505457718,0.09497263779242833,0.014711698594813546,0.07503863361974557,0.05412673453489939,0.0900682161251704,0.11506684900571902,0.0332044263680776,0.07616433439155419,0.04431421682238579,0.12968691438436508,0.025911416858434677,0.07909583797057469,0.01551557743611435,0.00891929647574822,0.048770527044932045,0.23905628671248755,0.034952976003599666,0.08842941435674827,0.13805646946032843,0.016755220014601946,0.07051108653346698,0.024931397289037704,0.018457656105359394,0.01122148676464955,0.08267321437597275,0.01619455497711897,0.025321889979143936,0.011993584921583533,0.0754184660812219,0.05164494148145119,0.031006303771088522,0.06070994042480985,0.03080765375246604,0.016870078941186268,0.3405297100543976,0.054750762258966766,0.018380473367869854,0.07343545493980248,0.07822284661233425,0.023336621622244518,0.27454378937060636,0.20817632228136063,0.02119980814556281,0.05697350359211365,0.015400519284109274
async_ai_excitement_voice2,0.05151781905442476,0.028037918731570244,0.023175416824718315,0.05825278970102469,0.01996660294632117,0.04908039607107639,0.03684579518934091,0.06178948407371839,0.0644685725371043,0.05576460715383291,0.15587778948247433,0.047391318793719016,0.12822482859094939,0.02658988954499364,0.08448717867334683,0.019026357602948945,0.010012008094539246,0.09084590896964073,0.2200502653916677,0.03127789280066887,0.06474796620508035,0.12845209830751023,0.013676448414723078,0.057070727149645485,0.02495220551888148,0.015221570152789354,0.01583482262988885,0.042599749440948166,0.009872593451291323,0.023670042244096596,0.0076698481958980365,0.03368472121655941,0.027143675833940506,0.029652169595162075,0.07133853233729799,0.02729577524587512,0.03316610865294933,0.3312517652908961,0.04268033243715763,0.01674807568391164,0.08073071297258139,0.08124126866459846,0.020122476542989414,0.28398290866365034,0.19096793048083782,0.023630255833268166,0.05353996530175209,0.017027295815447967
async_ai_excitement_voice3,0.05572905717417598,0.03553989871094624,0.018006904050707817,0.04297461857398351,0.034905674091229834,0.18054247833788395,0.09987662173807621,0.0561061774690946,0.04619775619357824,0.02383123415832718,0.054201227302352585,0.08722598354021709,0.11660132184624672,0.02134327885384361,0.052438351015249886,0.01198630128055811,0.01437963816958169,0.05287628745039304,0.2921148569633563,0.024287096185920138,0.211532694598039,0.14732881045589843,0.02195331547409296,0.07655127346515656,0.04172676460196575,0.022472850357492764,0.01577007568751772,0.07183653488755226,0.054968432212869324,0.05616141056331495,0.02836089814081788,0.07196184992790222,0.04305267954866091,0.02958439492310087,0.039337493324031435,0.05321233502278725,0.013223461030671993,0.33400657773017883,0.06448199475804965,0.024037417334814865,0.15067663850883642,0.049449535086750984,0.034334423408533134,0.29969477901856106,0.25504977566500503,0.024425095568100613,0.09680211000765364,0.013003512596090635
async_ai_excitement_voice4,0.05776070989668369,0.04270228029539188,0.0196835786725084,0.06421794245640437,0.01745183129484455,0.11260206376512845,0.07423029777904351,0.07066088231901328,0.05484669407208761,0.044061751725773014,0.043638485173384346,0.0830980371683836,0.10514502724011739,0.02286239170158903,0.06639474413047235,0.007055951127161582,0.00943029299378395,0.03927389904856682,0.27474222145974636,0.025970871017004054,0.13310557107130686,0.15058491316934428,0.015595912157247463,0.09371925455828507,0.03818548905352751,0.021251651148001354,0.016032271397610504,0.051986269652843475,0.036919718608260155,0.03678071700657407,0.02328302206782003,0.08197641621033351,0.047312689324220024,0.029808808428545792,0.044318209402263165,0.0306799899165829,0.016297833994030952,0.28601189454396564,0.06374268978834152,0.028367918605605762,0.07872201005617778,0.05355444519470135,0.025243224576115608,0.2791240078707536,0.17865832522511482,0.038893441980083786,0.08203926465163629,0.010957186110317707
cartesia_excited_barber,0.07893311294416587,0.05427717169125875,0.039803786824146904,0.11918054707348347,0.022230840908984344,0.09702058384815852,0.189915107563138,0.05468733857075373,0.007680873076121013,0.019408170289049547,0.06038351605335871,0.056771183076004185,0.06571480818092823,0.0191453630104661,0.07701593078672886,0.010723134657988945,0.014021703973412514,0.07933687170346577,0.16461352072656155,0.017291695655634005,0.10119700928529103,0.09897016982237498,0.03679738426581025,0.07538085679213206,0.028915537521243095,0.019228956196457148,0.017915251664817333,0.1758729958285888,0.031128671020269394,0.03848426261295875,0.0130322544525067,0.1395235781868299,0.051921085764964424,0.028257176900903385,0.03198477781067292,0.01950797097136577,0.043768235792716347,0.2746530498067538,0.08808260038495064,0.030703755095601082,0.0403561865290006,0.06901078422864278,0.023030287586152554,0.29259131848812103,0.4638806463529666,0.024707261938601732,0.01414925962065657,0.02382061506311099
cartesia_excitement_voice1,0.0547461356036365,0.032548106741160154,0.01603346038609743,0.1058167852461338,0.033514995127916336,0.10144544020295143,0.07800616696476936,0.050679467618465424,0.00449296017177403,0.005541474558413029,0.02328862063586712,0.0491407485678792,0.05534798838198185,0.013641285710036755,0.0748229706659913,0.0033039022237062454,0.004678346449509263,0.08040050975978374,0.1798204556107521,0.013697007205337286,0.0945579819381237,0.08451193384826183,0.01292169257067144,0.08033877704292536,0.021999504417181015,0.005328173283487558,0.013060676632449031,0.12984278053045273,0.020350835751742125,0.018324175383895636,0.01099184574559331,0.06496183760464191,0.03930522594600916,0.025915758917108178,0.026131339371204376,0.013995318207889795,0.04263798240572214,0.3202926851809025,0.07376125827431679,0.007940747309476137,0.02106661908328533,0.07167868316173553,0.014838847797363997,0.2186915334314108,0.3326089233160019,0.011399983894079924,0.013726067263633013,0.031574346125125885
cartesia_excitement_voice2,0.031760528683662415,0.0257467453678449,0.013673550138870874,0.0625605434179306,0.07840356106559436,0.13411166022221246,0.12458277493715286,0.03787860957284769,0.003165624977555126,0.004555424733553082,0.01612009333136181,0.1131218175093333,0.018701196609375376,0.023132995547105868,0.026727030131344993,0.004607254716878136,0.007826587030043205,0.08677519811317325,0.18813816582163176,0.023175509025653202,0.19508017102877298,0.10262337668488423,0.016379795347650845,0.04895211259524027,0.0397728548074762,0.010116491777201494,0.031019462272524834,0.12494464715321858,0.04872759866217772,0.02235612040385604,0.03735144902020693,0.06472821906208992,0.03503144159913063,0.020399244424576562,0.013332894537597895,0.023606320998320978,0.030550525058060884,0.22952753057082495,0.03193774943550428,0.01414250023663044,0.048684264378001295,0.04753184815247854,0.01386360777541995,0.4256671940286954,0.4028206914663315,0.028077015769667923,0.011327696110432347,0.02466921865319212
cartesia_excitement_voice3,0.04304510448127985,0.018964190501719713,0.011632869485765696,0.07220608368515968,0.11109170224517584,0.133914764970541,0.07908947393298149,0.05847862362861633,0.0038662938168272376,0.004045962356030941,0.020032623782753944,0.13343096990138292,0.03178159799426794,0.03343923715874553,0.04610889544710517,0.004495399305596948,0.002737030037678778,0.09499771893024445,0.3394191339612007,0.02666033897548914,0.16804345324635506,0.10418435279279947,0.01259872317314148,0.08833983168005943,0.019636429846286774,0.0044039469212293625,0.01633596234023571,0.1572512462735176,0.024943936616182327,0.025739260017871857,0.016322762239724398,0.07547466550022364,0.0306368600577116,0.011023876024410129,0.023306047776713967,0.026539459358900785,0.027999907732009888,0.40258559584617615,0.04747571051120758,0.007324751932173967,0.029212577734142542,0.05341227911412716,0.02098165638744831,0.46120774932205677,0.392549566924572,0.011314533650875092,0.015433483989909291,0.015362043865025043
deepgram_excitement_voice1,0.052042687932650246,0.05399614727745453,0.023542537043492,0.08524482076366742,0.06803387558708589,0.17750722418228784,0.10425117736061414,0.06812088067332904,0.005974718369543552,0.0037785149179399014,0.03556781619166335,0.07851662114262581,0.046324824914336205,0.03181548432136575,0.028041283910473187,0.010467025451362133,0.008892534611125788,0.06024769072731336,0.26700011268258095,0.034631404016787805,0.26827077319224674,0.08671406097710133,0.02001068089157343,0.11808141320943832,0.06154343237479528,0.013639980461448431,0.017926035448908806,0.0962174932161967,0.039398614006737866,0.06374609656631947,0.0181841179728508,0.07568010253210862,0.03943530097603798,0.042507010512053967,0.0291185825287054,0.056178025901317596,0.016853260342031717,0.2840236847599347,0.03974164463579655,0.026704938150942326,0.10317828971892595,0.03399045579135418,0.03580595894406239,0.30598913381497067,0.3267067888130744,0.04714777320623398,0.033062142319977283,0.016344739434619743
deepgram_excitement_voice2,0.048236824261645474,0.04623825786014398,0.020650692284107208,0.09464644268155098,0.023222172322372597,0.1955001192788283,0.15753287076950073,0.06802394799888134,0.01248058925072352,0.006387303117662668,0.03920377387354771,0.09493947960436344,0.06013477655748526,0.015213191819687685,0.038879030384123325,0.012221137682596842,0.010165577909598747,0.04796635607878367,0.2332548809548219,0.01938810075322787,0.2553833896915118,0.09323415470619996,0.04088165486852328,0.12915196704367796,0.053870704025030136,0.017863979407896597,0.015700808726251125,0.16718113174041113,0.03765256889164448,0.058088211342692375,0.02791645222653945,0.09487759942809741,0.07741734261314075,0.035749944858253,0.028777744931479294,0.05980347469449043,0.014454292754332224,0.34339332580566406,0.0624715027709802,0.026147010425726574,0.14588961377739906,0.04860922942558924,0.035725569973389305,0.3168403245508671,0.3594016842544079,0.03473098700245222,0.03715805523097515,0.02494379971176386
